Time	(10) Kp*error	(13) Kd*de/dt	(14) Kp*e+Kd*de/dt CCW	
0.032	-0.05997373	-0.05995764	-0.05979423	
0.0322	-0.05997623	-0.05996167	-0.05980654	
0.0324	-0.05997849	-0.05996532	-0.05981836	
0.0326	-0.05998054	-0.05996862	-0.05982969	
0.0328	-0.05998239	-0.05997161	-0.0598405	
0.033	-0.05998071	-0.05997431	-0.0598508	
0.0332	-0.0599742	-0.05997675	-0.05986023	
0.0334	-0.05996346	-0.05997897	-0.05986833	
0.0336	-0.0599491	-0.05998097	-0.05987475	
0.0338	-0.05993177	-0.05998278	-0.05987925	
0.034	-0.05991209	-0.05998442	-0.05988168	
0.0342	-0.05989072	-0.0599859	-0.05988196	
0.0344	-0.0598683	-0.05998724	-0.0598801	
0.0346	-0.05984544	-0.05998614	-0.05987618	
0.0348	-0.05982276	-0.05998256	-0.0598701	
0.035	-0.05980083	-0.05997667	-0.05986181	
0.0352	-0.0597802	-0.05996865	-0.05985136	
0.0354	-0.05976138	-0.05995797	-0.05983886	
0.0356	-0.05974481	-0.05994514	-0.05982443	
0.0358	-0.05973092	-0.05993066	-0.05980826	
0.036	-0.05972006	-0.05991504	-0.05979062	
0.0362	-0.05971251	-0.05989877	-0.05977185	
0.0364	-0.05970851	-0.05988233	-0.05975235	
0.0366	-0.05970821	-0.05986618	-0.05973254	
0.0368	-0.05971171	-0.05985076	-0.05971288	
0.037	-0.05971904	-0.05983648	-0.05969382	
0.0372	-0.05973016	-0.05982372	-0.05967586	
0.0374	-0.05974497	-0.05981281	-0.05965943	
0.0376	-0.05976328	-0.05980405	-0.05964498	
0.0378	-0.05978487	-0.05979769	-0.05963292	
0.038	-0.05980534	-0.05979392	-0.05962362	
0.0382	-0.05982387	-0.05979291	-0.05961698	
0.0384	-0.05984063	-0.05979467	-0.05961283	
0.0386	-0.05985579	-0.05979927	-0.05961104	
0.0388	-0.05986952	-0.0598067	-0.05961151	
0.039	-0.05988193	-0.05981693	-0.05961418	
0.0392	-0.05989317	-0.05982986	-0.05961899	
0.0394	-0.05990333	-0.05984431	-0.0596259	
0.0396	-0.05991253	-0.05985873	-0.05963477	
0.0398	-0.05992086	-0.05987218	-0.05964529	
0.04	-0.05992839	-0.05988434	-0.05965711	
0.0402	-0.0599352	-0.05989535	-0.0596699	
0.0404	-0.05994137	-0.05990531	-0.05968335	
