Time	(16) Kp*error	(21) Kd*de/dt	(22) Kp*e+Kd*de/dt CW	
0.0332	-0.05996104	-0.05999971	-0.05999368	
0.0334	-0.05994807	-0.05999945	-0.05999012	
0.0336	-0.05993351	-0.05999904	-0.05998549	
0.0338	-0.05991754	-0.05999845	-0.05997971	
0.034	-0.05990034	-0.05999764	-0.05997273	
0.0342	-0.0598821	-0.05999656	-0.05996449	
0.0344	-0.05986303	-0.05999517	-0.05995499	
0.0346	-0.05984329	-0.05999345	-0.05994423	
0.0348	-0.05982307	-0.05999133	-0.05993221	
0.035	-0.05980251	-0.0599888	-0.05991897	
0.0352	-0.05978178	-0.05998583	-0.05990453	
0.0354	-0.05976101	-0.05998239	-0.05988897	
0.0356	-0.05974032	-0.05997846	-0.05987231	
0.0358	-0.05971982	-0.05997401	-0.05985463	
0.036	-0.05969959	-0.05996905	-0.05983599	
0.0362	-0.05967973	-0.05996356	-0.05981645	
0.0364	-0.05966031	-0.05995754	-0.05979609	
0.0366	-0.05964138	-0.05995099	-0.05977497	
0.0368	-0.05962298	-0.05994391	-0.05975317	
0.037	-0.05960518	-0.05993631	-0.05973074	
0.0372	-0.05958798	-0.0599282	-0.05970776	
0.0374	-0.05957141	-0.0599196	-0.0596843	
0.0376	-0.05955549	-0.05991053	-0.0596604	
0.0378	-0.05954023	-0.05990101	-0.05963613	
0.038	-0.05952563	-0.05989105	-0.05961156	
0.0382	-0.05951169	-0.05988069	-0.05958673	
0.0384	-0.0594984	-0.05986994	-0.0595617	
0.0386	-0.05948577	-0.05985883	-0.05953651	
0.0388	-0.05947376	-0.0598474	-0.05951122	
0.039	-0.05946238	-0.05983566	-0.05948586	
0.0392	-0.0594516	-0.05982366	-0.05946047	
0.0394	-0.05944141	-0.05981141	-0.0594351	
0.0396	-0.05943178	-0.05979895	-0.05940977	
0.0398	-0.0594227	-0.0597863	-0.05938454	
0.04	-0.05941414	-0.05977349	-0.05935941	
0.0402	-0.05940609	-0.05976056	-0.05933443	
0.0404	-0.05939853	-0.05974752	-0.05930961	
0.0406	-0.05939142	-0.0597344	-0.05928499	
0.0408	-0.05938475	-0.05972124	-0.05926058	
0.041	-0.0593785	-0.05970804	-0.05923641	
0.0412	-0.05937265	-0.05969484	-0.05921249	
0.0414	-0.05936718	-0.05968165	-0.05918885	
0.0416	-0.05936206	-0.05966851	-0.0591655	
0.0418	-0.05935727	-0.05965542	-0.05914246	
0.042	-0.05935281	-0.05964241	-0.05911973	
0.0422	-0.05934865	-0.0596295	-0.05909732	
0.0424	-0.05934476	-0.0596167	-0.05907526	
0.0426	-0.05934115	-0.05960402	-0.05905355	
0.0428	-0.05933778	-0.05959148	-0.05903219	
