Time	(23) Combined Output	
0.1504	-0.06025203	
0.1506	-0.06025232	
0.1508	-0.0602526	
0.151	-0.06025289	
0.1512	-0.06025317	
0.1514	-0.06025345	
0.1516	-0.06025374	
0.1518	-0.06025402	
0.152	-0.0602543	
0.1522	-0.06025459	
0.1524	-0.06025487	
0.1526	-0.06025515	
0.1528	-0.06025544	
0.153	-0.06025572	
0.1532	-0.060256	
0.1534	-0.06025629	
0.1536	-0.06025657	
0.1538	-0.06025685	
0.154	-0.06025714	
0.1542	-0.06025742	
0.1544	-0.0602577	
0.1546	-0.06025799	
0.1548	-0.06025827	
0.155	-0.06025855	
0.1552	-0.06025884	
0.1554	-0.06025912	
0.1556	-0.0602594	
0.1558	-0.06025968	
0.156	-0.06025996	
0.1562	-0.06026025	
0.1564	-0.06026053	
0.1566	-0.06026081	
0.1568	-0.06026109	
0.157	-0.06026138	
0.1572	-0.06026166	
0.1574	-0.06026194	
0.1576	-0.06026222	
0.1578	-0.0602625	
0.158	-0.06026279	
0.1582	-0.06026307	
0.1584	-0.06026335	
0.1586	-0.06026363	
0.1588	-0.06026392	
0.159	-0.0602642	
0.1592	-0.06026448	
0.1594	-0.06026476	
0.1596	-0.06026504	
0.1598	-0.06026533	
0.16	-0.0602656	
0.1602	-0.06026589	
0.1604	-0.06026617	
0.1606	-0.06026645	
0.1608	-0.06026673	
0.161	-0.06026701	
0.1612	-0.0602673	
0.1614	-0.06026758	
0.1616	-0.06026786	
0.1618	-0.06026814	
0.162	-0.06026842	
0.1622	-0.0602687	
0.1624	-0.06026898	
0.1626	-0.06026926	
0.1628	-0.06026954	
0.163	-0.06026983	
0.1632	-0.0602701	
0.1634	-0.06027038	
0.1636	-0.06027067	
0.1638	-0.06027095	
0.164	-0.06027123	
0.1642	-0.06027151	
0.1644	-0.06027179	
0.1646	-0.06027207	
0.1648	-0.06027235	
0.165	-0.06027263	
0.1652	-0.06027291	
0.1654	-0.06027319	
0.1656	-0.06027347	
0.1658	-0.06027375	
0.166	-0.06027403	
0.1662	-0.06027431	
0.1664	-0.06027459	
0.1666	-0.06027487	
0.1668	-0.06027515	
0.167	-0.06027543	
0.1672	-0.06027571	
0.1674	-0.06027599	
0.1676	-0.06027627	
0.1678	-0.06027655	
0.168	-0.06027683	
0.1682	-0.06027711	
0.1684	-0.06027739	
0.1686	-0.06027767	
0.1688	-0.06027795	
0.169	-0.06027823	
0.1692	-0.06027851	
0.1694	-0.06027879	
0.1696	-0.06027907	
0.1698	-0.06027935	
0.17	-0.06027963	
0.1702	-0.06027991	
0.1704	-0.06028019	
0.1706	-0.06028046	
0.1708	-0.06028074	
0.171	-0.06028102	
0.1712	-0.0602813	
0.1714	-0.06028158	
0.1716	-0.06028186	
0.1718	-0.06028214	
0.172	-0.06028242	
0.1722	-0.0602827	
0.1724	-0.06028298	
0.1726	-0.06028325	
0.1728	-0.06028353	
0.173	-0.06028381	
0.1732	-0.06028409	
0.1734	-0.06028437	
0.1736	-0.06028465	
0.1738	-0.06028493	
0.174	-0.06028521	
0.1742	-0.06028548	
0.1744	-0.06028576	
0.1746	-0.06028604	
0.1748	-0.06028632	
0.175	-0.0602866	
0.1752	-0.06028688	
0.1754	-0.06028716	
0.1756	-0.06028743	
0.1758	-0.06028771	
0.176	-0.06028799	
0.1762	-0.06028827	
0.1764	-0.06028854	
0.1766	-0.06028882	
0.1768	-0.0602891	
0.177	-0.06028938	
0.1772	-0.06028966	
0.1774	-0.06028993	
0.1776	-0.06029021	
0.1778	-0.06029049	
0.178	-0.06029077	
0.1782	-0.06029104	
0.1784	-0.06029132	
0.1786	-0.0602916	
0.1788	-0.06029188	
0.179	-0.06029215	
0.1792	-0.06029243	
0.1794	-0.06029271	
0.1796	-0.06029299	
0.1798	-0.06029326	
0.18	-0.06029354	
0.1802	-0.06029382	
0.1804	-0.0602941	
0.1806	-0.06029437	
0.1808	-0.06029465	
0.181	-0.06029493	
0.1812	-0.06029521	
0.1814	-0.06029548	
0.1816	-0.06029576	
0.1818	-0.06029604	
0.182	-0.06029632	
0.1822	-0.06029659	
0.1824	-0.06029687	
0.1826	-0.06029715	
0.1828	-0.06029742	
0.183	-0.0602977	
0.1832	-0.06029798	
0.1834	-0.06029825	
0.1836	-0.06029853	
0.1838	-0.06029881	
0.184	-0.06029908	
0.1842	-0.06029936	
0.1844	-0.06029964	
0.1846	-0.06029991	
0.1848	-0.06030019	
0.185	-0.06030047	
0.1852	-0.06030074	
0.1854	-0.06030102	
0.1856	-0.0603013	
0.1858	-0.06030157	
0.186	-0.06030185	
0.1862	-0.06030212	
0.1864	-0.0603024	
0.1866	-0.06030268	
0.1868	-0.06030295	
0.187	-0.06030323	
0.1872	-0.06030351	
0.1874	-0.06030378	
0.1876	-0.06030406	
0.1878	-0.06030433	
0.188	-0.06030461	
0.1882	-0.06030488	
0.1884	-0.06030516	
0.1886	-0.06030544	
0.1888	-0.06030571	
0.189	-0.06030599	
0.1892	-0.06030626	
0.1894	-0.06030654	
0.1896	-0.06030681	
0.1898	-0.06030709	
0.19	-0.06030736	
0.1902	-0.06030764	
0.1904	-0.06030792	
0.1906	-0.06030819	
0.1908	-0.06030847	
0.191	-0.06030874	
0.1912	-0.06030902	
0.1914	-0.06030929	
0.1916	-0.06030957	
0.1918	-0.06030985	
0.192	-0.06031012	
0.1922	-0.0603104	
0.1924	-0.06031067	
0.1926	-0.06031094	
0.1928	-0.06031122	
0.193	-0.0603115	
0.1932	-0.06031177	
0.1934	-0.06031205	
0.1936	-0.06031232	
0.1938	-0.0603126	
0.194	-0.06031287	
0.1942	-0.06031315	
0.1944	-0.06031342	
0.1946	-0.06031369	
0.1948	-0.06031397	
0.195	-0.06031425	
0.1952	-0.06031452	
0.1954	-0.06031479	
0.1956	-0.06031507	
0.1958	-0.06031534	
0.196	-0.06031562	
0.1962	-0.06031589	
0.1964	-0.06031617	
0.1966	-0.06031644	
0.1968	-0.06031672	
0.197	-0.06031699	
0.1972	-0.06031726	
0.1974	-0.06031754	
0.1976	-0.06031781	
0.1978	-0.06031809	
0.198	-0.06031836	
0.1982	-0.06031864	
0.1984	-0.06031891	
0.1986	-0.06031919	
0.1988	-0.06031946	
0.199	-0.06031973	
0.1992	-0.06032	
0.1994	-0.06032028	
0.1996	-0.06032056	
0.1998	-0.06032083	
0.2	-0.0603211	
0.2002	-0.06032138	
0.2004	-0.06032165	
0.2006	-0.06032192	
0.2008	-0.0603222	
0.201	-0.06032247	
0.2012	-0.06032275	
0.2014	-0.06032302	
0.2016	-0.06032329	
0.2018	-0.06032357	
0.202	-0.06032384	
0.2022	-0.06032411	
0.2024	-0.06032439	
0.2026	-0.06032466	
0.2028	-0.06032493	
0.203	-0.06032521	
0.2032	-0.06032548	
0.2034	-0.06032575	
0.2036	-0.06032602	
0.2038	-0.0603263	
0.204	-0.06032657	
0.2042	-0.06032685	
0.2044	-0.06032712	
0.2046	-0.06032739	
0.2048	-0.06032766	
0.205	-0.06032794	
0.2052	-0.06032821	
0.2054	-0.06032848	
0.2056	-0.06032876	
0.2058	-0.06032903	
0.206	-0.0603293	
0.2062	-0.06032958	
0.2064	-0.06032985	
0.2066	-0.06033012	
0.2068	-0.06033039	
0.207	-0.06033067	
0.2072	-0.06033094	
0.2074	-0.06033121	
0.2076	-0.06033149	
0.2078	-0.06033176	
0.208	-0.06033203	
0.2082	-0.0603323	
0.2084	-0.06033258	
0.2086	-0.06033285	
0.2088	-0.06033312	
0.209	-0.06033339	
0.2092	-0.06033367	
0.2094	-0.06033394	
0.2096	-0.06033421	
0.2098	-0.06033448	
0.21	-0.06033476	
0.2102	-0.06033503	
0.2104	-0.0603353	
0.2106	-0.06033557	
0.2108	-0.06033584	
0.211	-0.06033612	
0.2112	-0.06033639	
0.2114	-0.06033666	
0.2116	-0.06033693	
0.2118	-0.0603372	
0.212	-0.06033748	
0.2122	-0.06033775	
0.2124	-0.06033802	
0.2126	-0.06033829	
0.2128	-0.06033856	
0.213	-0.06033884	
0.2132	-0.06033911	
0.2134	-0.06033938	
0.2136	-0.06033965	
0.2138	-0.06033992	
0.214	-0.0603402	
0.2142	-0.06034046	
0.2144	-0.06034074	
0.2146	-0.06034101	
0.2148	-0.06034128	
0.215	-0.06034155	
0.2152	-0.06034182	
0.2154	-0.0603421	
0.2156	-0.06034237	
0.2158	-0.06034264	
0.216	-0.06034291	
0.2162	-0.06034318	
0.2164	-0.06034345	
0.2166	-0.06034372	
0.2168	-0.060344	
0.217	-0.06034426	
0.2172	-0.06034454	
0.2174	-0.06034481	
0.2176	-0.06034508	
0.2178	-0.06034535	
0.218	-0.06034562	
0.2182	-0.06034589	
0.2184	-0.06034616	
0.2186	-0.06034643	
0.2188	-0.0603467	
0.219	-0.06034698	
0.2192	-0.06034724	
0.2194	-0.06034752	
0.2196	-0.06034779	
0.2198	-0.06034806	
